time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,ozone,sulphur_dioxide,uv_index,city,severity_score,aqi_category,risk_flag,hour
2025-12-17 00:00:00,13.3,12.2,220.0,3.6,70.0,2.3,0.0,Bengaluru,774.5,Good,High Risk,0
2025-12-17 01:00:00,13.6,12.7,264.0,5.5,67.0,2.7,0.0,Bengaluru,866.1,Good,High Risk,1
2025-12-17 02:00:00,13.2,12.2,326.0,8.4,63.0,3.4,0.3,Bengaluru,988.8,Good,High Risk,2
2025-12-17 03:00:00,12.5,11.2,362.0,9.8,63.0,3.9,1.45,Bengaluru,1061.3,Good,High Risk,3
2025-12-17 04:00:00,9.8,8.5,347.0,8.2,70.0,3.8,3.8,Bengaluru,1023.9,Good,High Risk,4
2025-12-17 05:00:00,9.3,7.8,306.0,5.3,81.0,3.4,6.05,Bengaluru,956.7,Good,High Risk,5
2025-12-17 06:00:00,8.9,7.4,272.0,3.0,90.0,3.0,7.75,Bengaluru,901.7,Good,High Risk,6
2025-12-17 07:00:00,8.4,7.0,254.0,2.0,96.0,2.8,8.5,Bengaluru,875.4,Good,High Risk,7
2025-12-17 08:00:00,7.9,6.6,243.0,1.8,100.0,2.6,7.3,Bengaluru,860.3,Good,High Risk,8
2025-12-17 09:00:00,7.7,6.5,245.0,2.9,100.0,2.6,4.95,Bengaluru,867.6,Good,High Risk,9
2025-12-17 10:00:00,7.6,6.5,264.0,5.9,95.0,2.8,2.4,Bengaluru,903.1,Good,High Risk,10
2025-12-17 11:00:00,7.9,6.9,295.0,10.4,87.0,3.3,0.7,Bengaluru,964.0,Good,High Risk,11
2025-12-17 12:00:00,9.8,9.1,330.0,15.4,77.0,4.2,0.05,Bengaluru,1044.3,Good,High Risk,12
2025-12-17 13:00:00,13.7,13.1,370.0,21.9,65.0,6.1,0.0,Bengaluru,1153.6,Good,High Risk,13
2025-12-17 14:00:00,16.8,16.2,414.0,29.0,52.0,8.5,0.0,Bengaluru,1265.4,Good,High Risk,14
2025-12-17 15:00:00,18.2,17.6,451.0,33.2,43.0,10.2,0.0,Bengaluru,1347.2,Good,High Risk,15
2025-12-17 16:00:00,19.4,18.7,482.0,32.3,42.0,10.4,0.0,Bengaluru,1412.5,Good,High Risk,16
2025-12-17 17:00:00,20.4,19.7,507.0,28.5,45.0,9.9,0.0,Bengaluru,1462.3,Good,High Risk,17
2025-12-17 18:00:00,20.5,19.7,514.0,24.4,49.0,9.3,0.0,Bengaluru,1469.8,Good,High Risk,18
2025-12-17 19:00:00,20.8,19.9,489.0,20.4,53.0,8.7,0.0,Bengaluru,1415.3,Good,High Risk,19
2025-12-17 20:00:00,22.4,21.3,447.0,16.2,58.0,8.0,0.0,Bengaluru,1338.5,Good,High Risk,20
2025-12-17 21:00:00,24.6,23.2,415.0,12.8,63.0,7.7,0.0,Bengaluru,1290.8,Good,High Risk,21
2025-12-17 22:00:00,26.6,24.6,389.0,10.3,69.0,7.9,0.0,Bengaluru,1260.6,Good,High Risk,22
2025-12-17 23:00:00,27.6,25.1,373.0,8.7,76.0,8.4,0.0,Bengaluru,1250.7,Good,High Risk,23
2025-12-18 00:00:00,29.0,26.0,414.0,9.1,82.0,9.4,0.0,Bengaluru,1365.0,Good,High Risk,0
2025-12-18 01:00:00,32.8,29.5,586.0,14.0,84.0,11.4,0.0,Bengaluru,1771.5,Good,High Risk,1
2025-12-18 02:00:00,37.7,34.7,814.0,20.9,85.0,13.9,0.45,Bengaluru,2308.8,Good,High Risk,2
2025-12-18 03:00:00,37.8,35.7,922.0,24.1,90.0,15.3,1.8,Bengaluru,2563.5,Good,High Risk,3
2025-12-18 04:00:00,34.1,31.5,791.0,19.6,105.0,14.6,4.05,Bengaluru,2293.6,Good,High Risk,4
2025-12-18 05:00:00,29.4,27.2,540.0,11.3,125.0,12.7,6.5,Bengaluru,1775.2,Good,High Risk,5
2025-12-18 06:00:00,24.8,23.0,348.0,5.0,138.0,10.8,8.2,Bengaluru,1362.6,Good,High Risk,6
2025-12-18 07:00:00,21.1,19.5,285.0,2.6,141.0,9.1,8.45,Bengaluru,1200.6,Good,High Risk,7
2025-12-18 08:00:00,18.3,17.0,281.0,2.1,137.0,7.5,7.2,Bengaluru,1151.3,Good,High Risk,8
2025-12-18 09:00:00,17.3,16.2,301.0,3.6,131.0,6.5,4.9,Bengaluru,1168.3,Good,High Risk,9
2025-12-18 10:00:00,18.1,17.1,340.0,7.6,123.0,6.5,2.45,Bengaluru,1245.2,Good,High Risk,10
2025-12-18 11:00:00,20.3,19.3,403.0,13.7,113.0,7.1,0.75,Bengaluru,1385.6,Good,High Risk,11
2025-12-18 12:00:00,25.7,25.0,474.0,20.0,102.0,8.2,0.05,Bengaluru,1568.9,Good,High Risk,12
2025-12-18 13:00:00,33.3,32.6,561.0,27.1,88.0,10.0,0.0,Bengaluru,1797.3,Good,High Risk,13
2025-12-18 14:00:00,38.4,37.7,655.0,34.4,72.0,12.1,0.0,Bengaluru,2015.6999999999998,Good,High Risk,14
2025-12-18 15:00:00,41.7,41.0,715.0,39.1,61.0,13.6,0.0,Bengaluru,2153.9,Good,High Risk,15
2025-12-18 16:00:00,44.6,43.7,718.0,39.5,57.0,13.9,0.0,Bengaluru,2172.9,Good,High Risk,16
2025-12-18 17:00:00,47.4,46.3,686.0,37.1,57.0,13.4,0.0,Bengaluru,2118.7,Good,High Risk,17
2025-12-18 18:00:00,48.5,47.4,644.0,33.8,59.0,12.8,0.0,Bengaluru,2033.9,Good,High Risk,18
2025-12-18 19:00:00,48.0,46.8,593.0,29.4,62.0,12.1,0.0,Bengaluru,1916.0,Good,High Risk,19
2025-12-18 20:00:00,48.1,46.8,532.0,23.9,66.0,11.2,0.0,Bengaluru,1780.6999999999998,Good,High Risk,20
2025-12-18 21:00:00,50.4,49.0,488.0,19.5,70.0,10.3,0.0,Bengaluru,1701.4,Good,High Risk,21
2025-12-18 22:00:00,52.3,50.8,448.0,16.3,72.0,9.1,0.0,Bengaluru,1624.5,Moderate,High Risk,22
2025-12-18 23:00:00,53.0,51.3,425.0,14.2,74.0,7.9,0.0,Bengaluru,1575.9,Moderate,High Risk,23
2025-12-19 00:00:00,54.0,52.4,479.0,14.3,74.0,7.6,0.0,Bengaluru,1691.6,Moderate,High Risk,0
2025-12-19 01:00:00,54.9,53.4,713.0,19.3,71.0,9.1,0.0,Bengaluru,2184.3,Moderate,High Risk,1
2025-12-19 02:00:00,55.3,54.1,1025.0,26.6,66.0,11.5,0.4,Bengaluru,2836.8,Moderate,High Risk,2
2025-12-19 03:00:00,49.6,48.5,1171.0,29.4,70.0,12.9,1.8,Bengaluru,3112.5,Good,High Risk,3
2025-12-19 04:00:00,42.7,41.2,984.0,23.2,90.0,12.4,3.95,Bengaluru,2714.5,Good,High Risk,4
2025-12-19 05:00:00,35.0,33.4,630.0,12.6,118.0,10.9,6.25,Bengaluru,1980.0,Good,High Risk,5
2025-12-19 06:00:00,27.9,26.3,366.0,4.7,139.0,9.5,7.7,Bengaluru,1421.0,Good,High Risk,6
2025-12-19 07:00:00,24.8,23.3,301.0,1.8,145.0,8.5,7.8,Bengaluru,1269.1,Good,High Risk,7
2025-12-19 08:00:00,23.8,22.4,325.0,1.6,144.0,7.6,6.65,Bengaluru,1302.2,Good,High Risk,8
2025-12-19 09:00:00,23.5,22.1,365.0,4.0,138.0,7.3,4.5,Bengaluru,1370.2,Good,High Risk,9
2025-12-19 10:00:00,24.0,22.7,394.0,9.6,127.0,7.6,2.25,Bengaluru,1423.3,Good,High Risk,10
2025-12-19 11:00:00,25.1,23.9,439.0,17.8,112.0,8.5,0.7,Bengaluru,1514.0,Good,High Risk,11
2025-12-19 12:00:00,31.0,30.0,503.0,27.4,95.0,10.1,0.05,Bengaluru,1684.0,Good,High Risk,12
2025-12-19 13:00:00,39.9,38.9,610.0,40.0,74.0,12.9,0.0,Bengaluru,1967.8,Good,High Risk,13
2025-12-19 14:00:00,45.2,44.2,735.0,54.0,52.0,16.4,0.0,Bengaluru,2264.2,Good,High Risk,14
2025-12-19 15:00:00,48.0,46.9,810.0,62.9,36.0,18.9,0.0,Bengaluru,2433.7,Good,High Risk,15
2025-12-19 16:00:00,50.6,49.6,796.0,63.2,32.0,19.8,0.0,Bengaluru,2419.8,Good,High Risk,16
2025-12-19 17:00:00,53.3,52.2,731.0,58.5,35.0,19.7,0.0,Bengaluru,2300.7,Moderate,High Risk,17
2025-12-19 18:00:00,54.9,53.8,660.0,52.5,39.0,19.1,0.0,Bengaluru,2157.1,Moderate,High Risk,18
2025-12-19 19:00:00,55.4,54.1,585.0,45.8,43.0,18.0,0.0,Bengaluru,1990.9,Moderate,High Risk,19
2025-12-19 20:00:00,56.1,54.8,504.0,37.9,49.0,16.3,0.0,Bengaluru,1814.1,Moderate,High Risk,20
2025-12-19 21:00:00,57.2,55.8,449.0,31.4,54.0,15.2,0.0,Bengaluru,1697.0,Moderate,High Risk,21
2025-12-19 22:00:00,58.0,56.5,416.0,26.7,57.0,14.9,0.0,Bengaluru,1625.9,Moderate,High Risk,22
2025-12-19 23:00:00,58.8,57.3,410.0,23.5,60.0,15.0,0.0,Bengaluru,1616.9,Moderate,High Risk,23
2025-12-20 00:00:00,60.5,58.9,482.0,23.1,62.0,15.4,0.0,Bengaluru,1780.0,Moderate,High Risk,0
2025-12-20 01:00:00,65.9,64.3,730.0,29.1,59.0,16.5,0.0,Bengaluru,2338.6,Moderate,High Risk,1
2025-12-20 02:00:00,80.8,79.2,1055.0,38.1,55.0,18.0,0.4,Bengaluru,3137.8,Moderate,High Risk,2
2025-12-20 03:00:00,65.7,64.3,1211.0,41.0,63.0,18.6,1.7,Bengaluru,3368.0,Moderate,High Risk,3
2025-12-20 04:00:00,46.3,44.5,1031.0,31.6,94.0,17.6,3.9,Bengaluru,2902.2,Good,High Risk,4
2025-12-20 05:00:00,39.9,38.1,681.0,16.2,136.0,15.6,6.25,Bengaluru,2207.4,Good,High Risk,5
2025-12-20 06:00:00,38.1,36.3,416.0,4.8,167.0,13.9,7.85,Bengaluru,1703.6,Good,High Risk,6
2025-12-20 07:00:00,36.7,34.9,343.0,1.1,179.0,12.6,8.05,Bengaluru,1562.4,Good,High Risk,7
2025-12-20 08:00:00,35.4,33.8,356.0,1.3,180.0,11.5,6.75,Bengaluru,1578.4,Good,High Risk,8
2025-12-20 09:00:00,34.5,32.8,384.0,4.2,175.0,10.9,4.55,Bengaluru,1620.9,Good,High Risk,9
2025-12-20 10:00:00,34.2,32.7,399.0,10.4,162.0,10.8,2.25,Bengaluru,1634.9,Good,High Risk,10
2025-12-20 11:00:00,34.7,33.2,430.0,19.2,143.0,11.2,0.7,Bengaluru,1680.7,Good,High Risk,11
2025-12-20 12:00:00,39.9,38.8,498.0,27.7,122.0,12.0,0.05,Bengaluru,1834.5,Good,High Risk,12
2025-12-20 13:00:00,49.5,48.3,652.0,36.1,99.0,13.5,0.0,Bengaluru,2189.4,Good,High Risk,13
2025-12-20 14:00:00,52.9,51.8,843.0,44.1,76.0,15.3,0.0,Bengaluru,2569.3,Moderate,High Risk,14
2025-12-20 15:00:00,52.0,51.0,948.0,47.5,61.0,16.3,0.0,Bengaluru,2745.2,Moderate,High Risk,15
2025-12-20 16:00:00,51.7,50.5,892.0,43.3,61.0,15.9,0.0,Bengaluru,2611.4,Moderate,High Risk,16
2025-12-20 17:00:00,53.0,51.8,750.0,34.6,70.0,14.7,0.0,Bengaluru,2325.2,Moderate,High Risk,17
2025-12-20 18:00:00,53.6,52.4,623.0,26.4,79.0,13.6,0.0,Bengaluru,2065.8,Moderate,High Risk,18
2025-12-20 19:00:00,52.9,51.6,542.0,20.2,86.0,12.9,0.0,Bengaluru,1891.1,Moderate,High Risk,19
2025-12-20 20:00:00,53.1,51.8,475.0,14.6,92.0,12.3,0.0,Bengaluru,1751.9,Moderate,High Risk,20
2025-12-20 21:00:00,53.7,52.3,430.0,10.5,96.0,12.2,0.0,Bengaluru,1661.4,Moderate,High Risk,21
2025-12-20 22:00:00,54.4,52.9,415.0,8.4,96.0,13.0,0.0,Bengaluru,1631.3,Moderate,High Risk,22
2025-12-20 23:00:00,55.3,53.7,421.0,7.9,93.0,14.2,0.0,Bengaluru,1643.8,Moderate,High Risk,23
2025-12-21 00:00:00,57.7,56.0,436.8,8.5,91.0,14.6,0.0,Bengaluru,1692.1,Moderate,High Risk,0
2025-12-21 01:00:00,64.3,62.4,459.0,11.2,91.0,13.5,0.0,Bengaluru,1794.6999999999998,Moderate,High Risk,1
2025-12-21 02:00:00,69.4,67.3,501.2,14.9,92.0,11.7,0.2,Bengaluru,1929.5,Moderate,High Risk,2
2025-12-21 03:00:00,69.6,67.8,534.0,16.5,98.0,10.0,1.2,Bengaluru,2015.8,Moderate,High Risk,3
2025-12-21 04:00:00,63.1,61.2,490.0,13.6,112.0,8.7,3.35,Bengaluru,1900.5,Moderate,High Risk,4
2025-12-21 05:00:00,52.6,50.9,420.0,8.5,131.0,7.7,6.0,Bengaluru,1710.1,Moderate,High Risk,5
2025-12-21 06:00:00,44.5,42.8,364.0,4.6,145.0,6.8,7.85,Bengaluru,1556.1,Good,High Risk,6
2025-12-21 07:00:00,41.1,39.6,334.0,2.9,152.0,6.2,8.2,Bengaluru,1481.7,Good,High Risk,7
2025-12-21 08:00:00,38.9,37.5,319.0,2.6,154.0,5.8,7.0,Bengaluru,1437.8,Good,High Risk,8
2025-12-21 09:00:00,37.7,36.4,322.0,4.0,152.0,5.8,4.7,Bengaluru,1434.3,Good,High Risk,9
2025-12-21 10:00:00,37.8,36.6,357.0,8.7,141.0,6.3,2.35,Bengaluru,1493.4,Good,High Risk,10
2025-12-21 11:00:00,38.2,37.1,411.0,15.2,126.0,7.1,0.7,Bengaluru,1589.3,Good,High Risk,11
2025-12-21 12:00:00,41.1,40.3,451.0,20.0,114.0,7.7,0.05,Bengaluru,1679.6,Good,High Risk,12
2025-12-17 00:00:00,98.3,95.5,1097.0,12.2,74.0,26.3,0.0,Delhi,3342.4,Moderate,High Risk,0
